numero_police,date_edition,date_effet,date_echeance,numero_immatriculation,statut_contrat,entite,type_intermediaire
POL957608,2022-04-03,2023-04-06,2025-04-20,MHF 688,valide,yako,courtier
POL981070,2023-04-18,2025-03-14,2025-07-20,5LZW870,expiré,akwaba,agent
POL553974,2020-08-22,2022-07-03,2025-06-05,TDH 754,annulé,akwaba,direct
POL525681,2022-06-16,2024-12-07,2025-09-14,80DC903,annulé,akwaba,agent
POL599454,2024-02-17,2025-03-20,2025-03-20,DV 42889,annulé,yako,courtier
POL993243,2024-08-24,2024-08-24,2024-12-22,095 NSZ,suspendu,akwaba,direct
POL470974,2021-05-27,2025-06-06,2025-06-17,YA5 V1P,expiré,akwaba,direct
POL660746,2024-04-14,2024-07-24,2024-08-15,90YZ3,expiré,yako,agent
POL925612,2020-04-19,2025-09-06,2025-09-12,ZZT 109,valide,akwaba,direct
POL355931,2023-10-19,2025-04-22,2025-07-01,DEO Z20,expiré,yako,courtier
POL787418,2020-07-27,2022-06-09,2023-11-19,39A BP4,suspendu,akwaba,direct
POL713434,2020-12-26,2022-11-20,2024-02-03,9F 6998H,annulé,yako,courtier
POL993791,2024-05-22,2025-04-15,2025-06-19,KNC 746,valide,yako,agent
POL098571,2024-04-16,2024-11-04,2025-06-15,160H,expiré,yako,direct
POL966293,2024-06-19,2025-05-21,2025-07-08,0KV S42,valide,yako,courtier
POL774585,2021-03-07,2024-01-15,2024-09-04,486 XJD,annulé,yako,courtier
POL605940,2020-01-08,2023-10-24,2025-02-21,1X O0156,valide,yako,courtier
POL233748,2023-04-02,2024-10-14,2025-06-25,3-J1601,annulé,yako,courtier
POL222143,2021-01-18,2025-05-14,2025-08-09,HWA4239,annulé,akwaba,agent
POL322185,2022-12-16,2023-10-23,2025-07-07,004 GBH,expiré,yako,direct
POL104563,2021-01-01,2022-10-21,2025-07-13,BSI Z92,valide,yako,agent
POL207648,2023-12-24,2024-10-29,2025-01-18,6T 88038,suspendu,akwaba,courtier
POL420019,2022-06-24,2024-10-09,2025-08-07,FLW-041,valide,akwaba,courtier
POL880195,2022-03-04,2023-04-15,2025-09-06,951 DQP,suspendu,akwaba,direct
POL285139,2019-12-12,2023-08-31,2024-08-21,5895 BN,suspendu,akwaba,direct
POL442526,2023-02-11,2025-07-18,2025-07-21,NNB-0644,annulé,yako,agent
POL642984,2020-07-27,2023-01-25,2025-06-15,85LB875,valide,yako,direct
POL047060,2023-12-14,2025-03-16,2025-07-21,834 5306,valide,yako,courtier
POL578858,2023-01-30,2024-09-04,2025-03-25,75X OJ0,expiré,akwaba,direct
POL297546,2020-08-26,2023-02-26,2024-09-22,QYU 0887,annulé,yako,courtier
POL706613,2020-08-08,2024-04-12,2025-06-02,MER 627,annulé,yako,direct
POL207425,2021-03-15,2023-05-19,2024-10-25,TZO 774,expiré,yako,agent
POL407416,2023-03-03,2024-09-08,2025-05-06,1Y 0A2PPM,suspendu,akwaba,direct
POL884251,2020-09-05,2025-08-29,2025-09-24,GT-2155,valide,akwaba,courtier
POL012036,2023-06-06,2024-02-01,2024-08-11,62-85793,valide,yako,agent
POL665178,2021-05-15,2023-09-29,2024-12-19,5KI O98,annulé,yako,courtier
POL972442,2022-02-21,2023-11-17,2023-11-23,72O N02,annulé,yako,courtier
POL633181,2021-08-01,2022-09-16,2024-09-14,ZAO 033,annulé,yako,agent
POL614007,2020-07-29,2024-10-11,2025-04-26,801-JOOW,annulé,yako,courtier
POL909247,2019-10-20,2020-01-23,2021-10-24,1YO5520,suspendu,akwaba,agent
POL403500,2023-06-21,2024-10-24,2025-07-18,LKO 446,annulé,yako,agent
POL176237,2022-01-27,2022-06-11,2025-02-01,VKD8730,valide,yako,courtier
POL090740,2023-03-07,2025-03-01,2025-07-05,36HW409,expiré,yako,agent
POL387826,2020-09-03,2023-12-19,2025-03-20,67P R67,annulé,yako,direct
POL832717,2024-05-05,2024-05-13,2024-07-04,LUV 389,expiré,akwaba,courtier
POL861870,2020-12-30,2022-12-02,2024-09-05,3UG N41,suspendu,akwaba,direct
POL903528,2024-01-15,2025-03-18,2025-06-28,GKV 543,suspendu,yako,direct
POL159987,2023-08-07,2023-12-20,2024-12-22,NKQ 649,suspendu,akwaba,direct
POL423188,2024-02-12,2024-08-22,2025-07-23,4I E6234,valide,yako,courtier
POL643142,2023-07-14,2023-08-27,2023-09-17,UM-4975,valide,akwaba,courtier
POL113313,2020-12-11,2022-01-22,2022-04-29,791 YZW,annulé,yako,direct
POL542399,2021-09-07,2024-12-16,2025-05-17,8QWZ 22,valide,akwaba,courtier
POL221413,2020-08-03,2024-01-28,2025-08-18,MIZ 942,suspendu,yako,direct
POL486532,2020-08-21,2020-09-28,2021-11-23,QFA 657,suspendu,yako,courtier
POL454559,2023-01-11,2024-10-19,2025-06-10,98RB094,valide,akwaba,direct
POL786687,2021-10-28,2025-03-19,2025-04-07,960-UAS,suspendu,yako,direct
POL379965,2022-01-24,2024-01-15,2025-05-13,48L•636,suspendu,yako,agent
POL173960,2022-03-06,2022-10-20,2023-02-17,RNB 492,expiré,akwaba,direct
POL674350,2020-04-24,2023-09-18,2024-12-19,OXF 039,suspendu,akwaba,courtier
POL701512,2022-04-26,2024-10-08,2025-05-31,5X OO136,expiré,akwaba,agent
POL384379,2020-08-29,2020-12-31,2023-08-03,730 QDW,suspendu,yako,agent
POL566623,2021-11-27,2024-06-02,2024-08-26,754B7,valide,yako,courtier
POL934311,2023-08-07,2025-08-27,2025-09-14,LNE1081,annulé,akwaba,direct
POL662960,2021-11-12,2022-01-20,2023-08-23,2-05823H,annulé,yako,direct
POL462478,2023-10-08,2024-07-06,2024-12-06,WHV-990,expiré,akwaba,courtier
POL560808,2020-12-18,2023-08-03,2024-04-04,LIV-6840,suspendu,akwaba,direct
POL164006,2022-04-16,2025-08-01,2025-08-20,848 UHY,suspendu,akwaba,courtier
POL088969,2021-08-21,2024-04-27,2024-12-12,064 DOK,suspendu,yako,direct
POL610982,2020-02-18,2024-10-01,2025-04-30,DKO 773,suspendu,yako,agent
POL371788,2024-09-19,2025-09-09,2025-09-09,LSD 664,suspendu,yako,agent
POL955883,2020-10-21,2022-08-02,2023-12-17,219 QJT,expiré,akwaba,direct
POL641913,2023-01-20,2023-12-27,2025-04-24,4-35930,valide,yako,agent
POL509763,2024-08-29,2025-04-13,2025-07-15,6LKP 90,expiré,akwaba,direct
POL797231,2020-05-18,2021-10-18,2024-07-07,62R 2475,expiré,yako,agent
POL968596,2022-11-29,2024-03-12,2024-06-13,8DYQ 78,suspendu,yako,direct
POL004476,2023-07-11,2023-12-20,2024-02-10,611328,annulé,yako,agent
POL092923,2021-08-22,2023-11-17,2024-06-27,JI3 Z4U,suspendu,yako,direct
POL725486,2024-05-16,2025-08-23,2025-09-13,488 YHO,suspendu,akwaba,direct
POL890864,2024-05-21,2024-10-06,2025-03-23,621B5,suspendu,akwaba,agent
POL818952,2024-07-08,2025-04-01,2025-05-22,02E 130,expiré,akwaba,agent
POL329046,2022-04-27,2024-03-05,2024-05-02,834KPN,annulé,yako,agent
POL338183,2024-05-01,2024-10-12,2025-07-26,3-99865,suspendu,yako,courtier
POL451157,2024-09-12,2024-10-15,2025-04-12,9UCM037,suspendu,yako,courtier
POL998742,2022-09-30,2024-04-07,2025-06-12,328 9OQ,annulé,yako,courtier
POL585582,2024-08-28,2024-12-15,2025-08-25,WGW-0330,suspendu,yako,agent
POL046045,2020-04-12,2023-02-07,2024-04-04,559 4086,valide,akwaba,agent
POL822089,2020-01-25,2021-11-01,2025-05-25,408 YIC,suspendu,yako,direct
POL044237,2019-12-16,2023-02-23,2023-09-19,63N 203,expiré,akwaba,agent
